OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DAY,OCC_DOW,OCC_DOY,DIVISION,HOMICIDE_TYPE,NEIGHBOURHOOD_158
539,GO-20114140412,2011.10.17,2011,October,17,Monday,290,D41,Other,Clairlea-Birchmount
540,GO-20114219112,2011.10.21,2011,October,21,Friday,294,D22,Shooting,Etobicoke West Mall
541,GO-20114188550,2011.10.28,2011,October,28,Friday,301,D31,Shooting,Oakdale-Beverley Heights
542,GO-20114187348,2011.11.29,2011,November,29,Tuesday,333,D55,Shooting,South Riverdale
543,GO-20114136582,2011.12.02,2011,December,2,Friday,336,D12,Other,Rustic
544,GO-20114253053,2011.12.02,2011,December,2,Friday,336,D32,Stabbing,Newtonbrook East
545,GO-20113034132,2011.12.03,2011,December,3,Saturday,337,D32,Stabbing,Bedford Park-Nortown
546,GO-20114191912,2011.12.26,2011,December,26,Monday,360,D51,Other,Regent Park
547,GO-20114266197,2011.12.30,2011,December,30,Friday,364,D43,Shooting,Golfdale-Cedarbrae-Woburn
548,GO-20114355679,2011.12.31,2011,December,31,Saturday,365,D14,Stabbing,Kensington-Chinatown
549,GO-20124194029,2012.01.01,2012,January,1,Sunday,1,D42,Shooting,Clairlea-Birchmount
550,GO-20123665859,2012.01.01,2012,January,1,Sunday,1,D14,Stabbing,Fort York-Liberty Village
551,GO-201230000227,2012.01.01,2012,January,1,Sunday,1,D53,Other,Leaside-Bennington
552,GO-20124205598,2012.01.21,2012,January,21,Saturday,21,D43,Shooting,Ionview
553,GO-20124042332,2012.01.24,2012,January,24,Tuesday,24,D42,Shooting,Malvern West
554,GO-20124212793,2012.01.27,2012,January,27,Friday,27,D11,Shooting,Dufferin Grove
555,GO-20124085703,2012.02.20,2012,February,20,Monday,51,D32,Shooting,Lansing-Westgate
556,GO-20124085703,2012.02.20,2012,February,20,Monday,51,D32,Shooting,Lansing-Westgate
557,GO-20124370907,2012.02.29,2012,February,29,Wednesday,60,D42,Other,L'Amoreaux West
558,GO-20124334336,2012.03.11,2012,March,11,Sunday,71,D32,Other,Yonge-Doris
559,GO-20124445252,2012.03.23,2012,March,23,Friday,83,D22,Stabbing,Kingsway South
560,GO-20123755673,2012.04.12,2012,April,12,Thursday,103,D12,Shooting,Rockcliffe-Smythe
561,GO-20124428014,2012.04.15,2012,April,15,Sunday,106,D41,Stabbing,Wexford/Maryvale
562,GO-20124376058,2012.04.16,2012,April,16,Monday,107,D11,Other,High Park North
563,GO-20124449577,2012.05.04,2012,May,4,Friday,125,D32,Shooting,Englemount-Lawrence
564,GO-20124449281,2012.05.07,2012,May,7,Monday,128,D41,Other,Oakridge
565,GO-20124346812,2012.05.09,2012,May,9,Wednesday,130,D53,Shooting,Yonge-Eglinton
566,GO-20124445741,2012.05.10,2012,May,10,Thursday,131,D11,Shooting,Lambton Baby Point
567,GO-20123363455,2012.05.14,2012,May,14,Monday,135,D51,Other,Moss Park
568,GO-20124438492,2012.05.31,2012,May,31,Thursday,152,D43,Shooting,Centennial Scarborough
569,GO-20124533105,2012.06.02,2012,June,2,Saturday,154,D52,Shooting,Downtown Yonge East
570,GO-20124533105,2012.06.02,2012,June,2,Saturday,154,D52,Shooting,Downtown Yonge East
